mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.2116015911102295,0.04432335969231836,0.003094387054443359,0.00035918198189390237,0.01,5,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 5}",0.8270357497517379,0.8235600794438928,0.9105450236966824,0.8500873035669743,0.8748565727113993,0.8572169458341374,0.032402349840452725,90,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.3188773155212402,0.0006952418318218762,0.002781391143798828,3.134057339212571e-05,0.01,10,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 10}",0.8491559086395234,0.8248262164846077,0.9125197472353871,0.8783487153903715,0.875904215515091,0.8681509606529962,0.029565323754983146,88,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.4467991828918457,0.00133122588407361,0.0036687374114990233,0.00020914544153818613,0.01,15,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 15}",0.8509930486593843,0.8380834160873882,0.9189622827804108,0.8862808680468944,0.8836368171613869,0.875591286547093,0.028537535574675,83,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.5742217540740967,0.0030189918081728047,0.004396677017211914,0.0002373076304917475,0.01,20,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 20}",0.8629344587884806,0.8585402184707052,0.9180983412322277,0.8898977301072586,0.8877026689947618,0.8834346835186867,0.021454833680668296,80,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.6981701374053955,0.002951204822003399,0.00526738166809082,0.00019728765023165697,0.01,25,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 25}",0.8804121151936445,0.867279046673287,0.9184439178515007,0.8922424544774257,0.8880768271389374,0.8892908722669592,0.016872691564214334,72,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.8224913597106933,0.002046894461613135,0.005831098556518555,8.263501278554242e-05,0.01,30,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 30}",0.8856007944389275,0.8687437934458789,0.9175799763033174,0.895260663507109,0.8866799700673484,0.8907730395525162,0.015921957468047327,67,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.9500282287597657,0.0028331276700922464,0.006753778457641602,0.0002564891338920659,0.01,35,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 35}",0.8808838133068521,0.8704816285998014,0.9173578199052134,0.8981292092791219,0.88972312297331,0.8913151188128599,0.01593759711398484,66,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.075819158554077,0.0026406477415635513,0.007421302795410156,0.0002256613601332683,0.01,40,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 40}",0.8812065541211519,0.8789970208540216,0.9211097946287521,0.898727862309803,0.8888750311798452,0.8937832526187147,0.015310687089835883,60,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.2067014217376708,0.0040526441372534736,0.00840606689453125,0.0002669048702899529,0.01,45,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 45}",0.8814051638530288,0.8825223435948361,0.9237509873617693,0.9049638313793964,0.8881017710152158,0.8961488194408492,0.016170314294101623,58,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.18808908462524415,0.0011956303315399832,0.002799320220947266,2.070890108625993e-05,0.016681005372000592,5,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 5}",0.8384061569016882,0.828103277060576,0.9112361769352291,0.8681217261162384,0.875904215515091,0.8643543105057645,0.029437891321633693,89,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.31953959465026854,0.0008566025050573713,0.0028016090393066405,6.638378198637776e-05,0.016681005372000592,10,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 10}",0.8509930486593843,0.8380834160873882,0.9182464454976303,0.8864305313045646,0.8817909703167872,0.8751088823731509,0.028235219055354643,84,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.4455439567565918,0.0012188372787758203,0.0035557270050048826,7.639660484950752e-05,0.016681005372000592,15,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 15}",0.8636792452830189,0.8676266137040716,0.9198509083728279,0.892192566724869,0.8884010975305563,0.8863500863230687,0.020125514962881497,75,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.571758222579956,0.0013031770350272625,0.0044060230255126955,0.00023984759275298616,0.016681005372000592,20,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 20}",0.8812065541211519,0.8694885799404172,0.9151362559241707,0.8926914442504366,0.8898228984784236,0.88966914654292,0.015077150408629194,71,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.6964898109436035,0.0008522376344523321,0.005113554000854492,0.00010961773788243874,0.016681005372000592,25,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 25}",0.881454816285998,0.8786991062562065,0.9176293443917853,0.9010226989274134,0.8882763781491644,0.8934164688021136,0.014354236337642205,62,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.8241189956665039,0.0028234600319948988,0.005878639221191406,0.00014887153908428081,0.016681005372000592,30,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 30}",0.8836891757696127,0.8840119165839126,0.9243927725118485,0.9048141681217261,0.8870541282115241,0.8967924322397248,0.015849280776068446,57,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.9505956172943115,0.002531377697512724,0.0068241596221923825,0.000207592994119672,0.016681005372000592,35,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 35}",0.8849056603773585,0.8905412115193645,0.9235288309636651,0.9053379895235719,0.8873783986031428,0.8983384181974206,0.014456198243129962,55,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.0749077320098877,0.000816029463627615,0.00781092643737793,5.243183958945621e-05,0.016681005372000592,40,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 40}",0.8861966236345582,0.8942154915590864,0.9238497235387046,0.908081815914193,0.8905961586430531,0.9005879626579191,0.013746436121145528,51,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.2068726062774657,0.005577941474361176,0.00854649543762207,0.0002319769207113053,0.016681005372000592,45,"{'classifier__learning_rate': 0.016681005372000592, 'classifier__n_estimators': 45}",0.888157894736842,0.8999006951340616,0.9297492101105845,0.9106260912945872,0.8951359441257172,0.9047139670803584,0.014496387469292797,42,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.18795738220214844,0.0009685247346350681,0.00278325080871582,1.3868011740581394e-05,0.027825594022071243,5,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 5}",0.8491559086395234,0.8250744786494538,0.9192338072669827,0.8783487153903715,0.8785482664005986,0.870072235269386,0.03168436273217116,86,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.3186614513397217,0.0005027475541931378,0.0027960777282714845,7.753841390641754e-05,0.027825594022071243,10,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 10}",0.8853277060575968,0.8683217477656406,0.9173331358609795,0.8904464953853828,0.890995260663507,0.8904848691466214,0.01574097632350837,68,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.4458052158355713,0.0019487547549375671,0.0036008358001708984,9.101133904533068e-05,0.027825594022071243,15,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 15}",0.881082423038729,0.8801638530287983,0.9167900868878358,0.900199551010227,0.8892741332002992,0.8935020094331779,0.013691012341151847,61,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.5713221549987793,0.0014905887113743797,0.004402780532836914,0.00011995365441755844,0.027825594022071243,20,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 20}",0.8854021847070507,0.8909384309831181,0.9225414691943128,0.9053379895235719,0.8939386380643551,0.8996317424944819,0.013174841559045233,52,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.6970581531524658,0.0005798041891298022,0.0052756786346435545,0.00012763554645304974,0.027825594022071243,25,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 25}",0.8860476663356505,0.9037735849056603,0.9243434044233807,0.9074582190072338,0.8933649289099526,0.9029975607163756,0.013086109005582188,47,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.8225804328918457,0.0011780884644637306,0.006133460998535156,0.00018224024996583228,0.027825594022071243,30,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 30}",0.8887537239324725,0.9061320754716982,0.9310080963665087,0.9132950860563731,0.8975804440009978,0.90735388516561,0.014406932668587785,38,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.9476234436035156,0.001273270276759958,0.006589937210083008,3.666545991809086e-05,0.027825594022071243,35,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 35}",0.8910625620655412,0.9123138033763655,0.933402448657188,0.9141930656023946,0.9037665253180344,0.9109476810039047,0.01388237986851794,31,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.0735299587249756,0.0016577731367699263,0.007647228240966797,0.00023466291692789154,0.027825594022071243,40,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 40}",0.8947864945382324,0.9131578947368422,0.9356733807266983,0.9161885757046645,0.9075330506360688,0.9134678792685011,0.013302623056031235,25,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.2008782863616942,0.0013587075467055099,0.008503007888793945,0.00024897769915236854,0.027825594022071243,45,"{'classifier__learning_rate': 0.027825594022071243, 'classifier__n_estimators': 45}",0.8955064548162859,0.9143495531281033,0.9378455766192734,0.9171863307557995,0.9100773260164631,0.9149930482671851,0.013648108115916687,21,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.18660058975219726,0.00021941342533361954,0.0027655601501464845,9.7566522414742e-06,0.046415888336127774,5,"{'classifier__learning_rate': 0.046415888336127774, 'classifier__n_estimators': 5}",0.8626365441906654,0.8701092353525324,0.9173331358609794,0.8892990770765776,0.8871788475929159,0.8853113680147342,0.01892107498250245,77,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.3198580741882324,0.0009605525645152478,0.0028949737548828124,0.0002104998485514462,0.046415888336127774,10,"{'classifier__learning_rate': 0.046415888336127774, 'classifier__n_estimators': 10}",0.8806603773584906,0.879990069513406,0.9194312796208532,0.8948116737340983,0.8871289598403592,0.8924044720134414,0.01453351386938243,64,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.4451762676239014,0.00135284663039787,0.0035255908966064452,6.2164644194535306e-06,0.046415888336127774,15,"{'classifier__learning_rate': 0.046415888336127774, 'classifier__n_estimators': 15}",0.8880834160873883,0.9009682224428996,0.9305390995260664,0.9075579945123473,0.8922923422299825,0.9038882149597368,0.014943354497508351,44,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.5715685367584229,0.0014493564249885582,0.004349470138549805,8.978617042845372e-05,0.046415888336127774,20,"{'classifier__learning_rate': 0.046415888336127774, 'classifier__n_estimators': 20}",0.8892005958291956,0.9070506454816286,0.9328100315955766,0.9129209279121976,0.9029184335245697,0.9089801268686337,0.014248446546346685,35,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.6994330406188964,0.004013455009252107,0.00515279769897461,0.0001442477406832219,0.046415888336127774,25,"{'classifier__learning_rate': 0.046415888336127774, 'classifier__n_estimators': 25}",0.8940665342601788,0.9121400198609732,0.9356486966824644,0.9176602644050885,0.908880019955101,0.9136791070327611,0.013480100298297125,23,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.8222003936767578,0.0015025924579144668,0.005889749526977539,0.0001499940984002789,0.046415888336127774,30,"{'classifier__learning_rate': 0.046415888336127774, 'classifier__n_estimators': 30}",0.896896722939424,0.9164846077457794,0.9373272116903634,0.9205038663008231,0.9125218258917436,0.9167468469136267,0.01303544094250008,17,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.9510058879852294,0.005784516578630008,0.006829452514648437,0.0002113587037349706,0.046415888336127774,35,"{'classifier__learning_rate': 0.046415888336127774, 'classifier__n_estimators': 35}",0.8963008937437935,0.9181976166832174,0.9384626777251185,0.9227488151658768,0.9176103766525319,0.9186640759941076,0.013491549292475563,6,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.0797298431396485,0.005912809568765669,0.0076789379119873045,0.0002701361159267783,0.046415888336127774,40,"{'classifier__learning_rate': 0.046415888336127774, 'classifier__n_estimators': 40}",0.8975422045680239,0.9200347567030784,0.9384133096366508,0.9233973559491145,0.9191070092292343,0.9196989272172205,0.01307891426171971,3,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.2019591331481934,0.002112511928308523,0.008208322525024413,0.00021664210361541601,0.046415888336127774,45,"{'classifier__learning_rate': 0.046415888336127774, 'classifier__n_estimators': 45}",0.8980883813306852,0.9214746772591856,0.9398203001579779,0.9244449987528062,0.9207283611873285,0.9209113437375966,0.013351208117409693,1,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.187672758102417,0.0005944121576766457,0.0028500080108642576,7.346626243236237e-05,0.0774263682681127,5,"{'classifier__learning_rate': 0.0774263682681127, 'classifier__n_estimators': 5}",0.8873882820258192,0.8771847070506456,0.919974328593997,0.8892990770765776,0.8849338987278623,0.8917560586949802,0.01469864717012005,65,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.3196279048919678,0.00043381733212862096,0.002875089645385742,1.4291597974007503e-05,0.0774263682681127,10,"{'classifier__learning_rate': 0.0774263682681127, 'classifier__n_estimators': 10}",0.8925521350546176,0.8969463753723933,0.9280706951026856,0.907084060863058,0.8910700922923422,0.9031446717370194,0.013661929640205827,45,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.44657559394836427,0.0007041498311162954,0.003610372543334961,9.455213136017846e-05,0.0774263682681127,15,"{'classifier__learning_rate': 0.0774263682681127, 'classifier__n_estimators': 15}",0.8967229394240319,0.9142502482621648,0.9359202211690364,0.9130955350461462,0.9083561985532552,0.9136690284909269,0.012737176950657441,24,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.5738786697387696,0.0037945332997432937,0.004454183578491211,9.208013203106083e-05,0.0774263682681127,20,"{'classifier__learning_rate': 0.0774263682681127, 'classifier__n_estimators': 20}",0.9006206554121152,0.9193147964250249,0.9367347946287519,0.9198802693938638,0.9147917186330756,0.9182684468985662,0.011560544981628796,9,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.7014418125152588,0.004841822214114861,0.005071830749511719,2.3893491148216176e-05,0.0774263682681127,25,"{'classifier__learning_rate': 0.0774263682681127, 'classifier__n_estimators': 25}",0.8992552135054617,0.9213008937437934,0.9357227488151659,0.9237216263407333,0.9162384634572213,0.9192477891724751,0.011869405003443885,5,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.8314506053924561,0.004199977349301589,0.006204414367675781,8.413710246525957e-06,0.0774263682681127,30,"{'classifier__learning_rate': 0.0774263682681127, 'classifier__n_estimators': 30}",0.8987090367428004,0.9211271102284012,0.9359202211690363,0.9219755550012472,0.920753305063607,0.9196970456410185,0.011933484950517163,4,2024-02-22--17-24-49,2024-02-22--17-30-08,100
0.9512810230255127,0.002482875960743369,0.006949186325073242,0.00018252009710018925,0.0774263682681127,35,"{'classifier__learning_rate': 0.0774263682681127, 'classifier__n_estimators': 35}",0.8997517378351539,0.9165590863952334,0.9385860979462876,0.9234721875779496,0.9252681466699924,0.9207274512849233,0.012684152104528975,2,2024-02-22--17-24-49,2024-02-22--17-30-08,100
1.0768780708312988,0.0011503984368629587,0.0076385498046875,0.00024177621726670408,0.0774263682681127,40,"{'classifier__learning_rate': 0.0774263682681127, 'classifier__n_estimators': 40}",0.8905163853028798,0.9184955312810328,0.9414988151658767,0.9172362185083562,0.9250935395360439,0.918568097958838,0.016474689260392736,7,2024-02-22--17-24-49,2024-02-22--17-30-08,100
